id,review,rating,createdAt,lastComment,qtyItem,orderedAt,orderItem,tagsData,replayComment,timeReplayComment
28f5402d-58db-4a88-b53c-001d2648256a,Mantap sambalnya enak👍,5,2023-11-14T12:17:11.088383+07:00,"{'id': '657886ff-d093-4159-875f-e14c9ee877c7', 'text': 'Makasih kak,,sehat selalu..😀🙏🙏', 'createdAt': '2023-11-20T15:33:04.951292276+07:00', 'author': {'fullName': 'Sam', 'isMerchant': True}}",2,2023-11-14T04:38:00.545061Z,"Gado-gado Spesial, Lotek Double Sayur",CANNED_RESPONSE_TASTE,"Makasih kak,,sehat selalu..😀🙏🙏",2023-11-20T15:33:04.951292276+07:00
2059f049-bfa0-4e5c-b5d9-66997b584a27,"enak banget, gak kayak makanan jajan, tapi kayak makan masakan dirumah ",5,2022-09-27T01:27:09.477141+07:00,,3,2022-09-26T17:43:21.583177Z,"Mangut Tuna, Tahu Bakso Goreng Telur, Nasi Putih",,,
d0f82213-4c81-4598-bae8-f795bee80db1,pesan kunir asem yg datang gula asem,4,2021-06-06T17:58:10.986025+07:00,,8,2021-06-04T03:54:54.044786Z,"Mendoan, Kunir Asem, Paket 4 ( Brongkos ), Cumi, Cap Cay Goreng, Nasi Putih, Bakmi Goreng, Jeruk Manis",,,
d163dbee-e64b-4b1c-89b6-71140f10297d,krg pedes n krg kuah,3,2019-12-09T19:03:32.148+07:00,,1,2019-12-08T12:08:24.115813Z,Sayur Brongkos Telur / Daging Sapi,,,
dbd718d4-8f84-4d03-b339-42d4f8bd6858,"kemarin pesan gudeg telur ayam suwir,,g ada ayamnya,,",3,2022-02-24T11:49:27.883644+07:00,,1,2022-02-22T03:38:11.124305Z,Nasi Gudeg Krecek Telur Ayam Suwir,CANNED_RESPONSE_VALUE CANNED_RESPONSE_ORDER,,
39bccf0d-384b-4b53-9507-c4b43080e259,sambelnya tidak dilengkapi,4,2021-09-10T19:06:53.003587+07:00,,1,2021-09-08T12:38:34.79558Z,Nasi Gudeg Krecek Telur Ayam Suwir,,,
c22f87a3-6cfb-427a-84c7-51d72306e734,"enak sekali, murah meriah",5,2023-07-15T15:42:20.371357+07:00,,2,2023-07-14T08:52:02.833311Z,"Opor Ayam, Lotek Dobel Bakwan",CANNED_RESPONSE_FRESHNESS CANNED_RESPONSE_TASTE CANNED_RESPONSE_PORTION CANNED_RESPONSE_HYGIENE CANNED_RESPONSE_PACKAGING CANNED_RESPONSE_VALUE CANNED_RESPONSE_CUTLERY,,
eaaf6fc0-6e65-4db6-a396-2604cec3aa9a,beli lotek+nasi tapi nggak ada nasinya,3,2022-12-01T10:56:29.960771+07:00,,5,2022-12-01T03:07:56.319851Z,"Nasi Goreng, Lotek + Nasi, Bakwan, Teh Panas / Es, Milo Panas / Es",CANNED_RESPONSE_ORDER,,
14844557-e266-4b34-9faf-bf1ad27b05e3,kebanyakan air. ,4,2022-08-09T16:39:35.739934+07:00,,1,2022-08-09T05:22:57.226785Z,Lotek,CANNED_RESPONSE_FRESHNESS,,
529258d0-9dc3-4754-811f-0ad241937d1b,ga merhatiin catetan. sudah 2x ga lengkap.,3,2021-09-06T18:36:01.644922+07:00,,2,2021-09-06T06:12:17.714391Z,"Telur Rebus, Lotek Dobel Bakwan",,,
5be78c44-ad67-4f2b-b1fa-c479d14a988e,saya pesan oseng bihun dikasih oseng soun yg beda sekali.,1,2020-02-28T19:22:49.404+07:00,,2,2020-02-28T11:49:10.643152Z,"Oseng Bihun, Perkedel (2Pcs)",,,
25d6ddda-67f8-4ac9-81d4-71119d2ffdfa,"porsinya tidak sprti pesanan yg sebelumnya
yg sekarang sy pesan lebih sedikit.apa yang siapin beda orang ya..beda porsi",3,2023-11-06T13:19:54.679019+07:00,,1,2023-11-06T05:56:18.164654Z,Nasi Gudeg Krecek Telur,CANNED_RESPONSE_PORTION,,
d2e78945-02b5-4d31-89ef-16f1eb8ad6b4,"krecek nya alot, telurnya alot, tidak ada sambalnya",3,2022-08-12T07:04:51.925358+07:00,,2,2022-08-10T00:45:20.248424Z,"Nasi Gudeg Krecek Telur + Suwir, Nasi Gudeg Krecek Telur + Tahu",CANNED_RESPONSE_FRESHNESS CANNED_RESPONSE_VALUE CANNED_RESPONSE_PORTION,,
44f20e86-5326-4f54-b00a-f986bfe87cd7,"Silahkan dicoba, Recommended food",5,2021-11-10T21:12:34.294782+07:00,,1,2021-11-10T12:43:40.112876Z,Nasi Gudeg Krecek Sayap + Telor,CANNED_RESPONSE_TASTE CANNED_RESPONSE_HYGIENE CANNED_RESPONSE_PACKAGING,,
5072735d-f68e-4319-8ecf-45e4f92e6276,sayang deh sama chefnya👍,5,2020-09-14T10:14:35.843+07:00,,1,2020-09-13T23:34:41.295371Z,Nasi Gudeg Krecek Sayap + Telor,CANNED_RESPONSE_TASTE CANNED_RESPONSE_PORTION CANNED_RESPONSE_HYGIENE CANNED_RESPONSE_PACKAGING CANNED_RESPONSE_VALUE,,
2c7da01f-725c-47a4-b5ad-e57c3f1a94b1,tahunya kasinan..nasinya dingin,4,2019-09-18T16:46:16.848+07:00,,2,2019-09-18T07:54:01.606877Z,"Nasi Gudeg Krecek Suwir, Nasi Gudeg Krecek Telor + Tahu",,,
3fe86f3a-4b96-4644-a843-325542d02326,"baru ini makan lotek rasanya pait, beliny 3 bunfkus pula.",1,2022-05-30T07:44:25.848234+07:00,,2,2022-05-26T23:35:13.758728Z,"Lotek, Mendoan (isi 3)",CANNED_RESPONSE_TASTE,,
3a442c59-ec1c-40ed-8777-b86b47e3df6c,"Order malam hari, tempe sudah hampir tidak layak dimakan",4,2023-11-15T18:32:07.473592+07:00,,1,2023-11-14T11:12:48.705245Z,Nasi Gudeg Krecek Telur Bebek,,,
b0937779-99f7-4682-a2dd-0709872e790e,"Alhamdulillah pesanan yang datang sesuai, gudeg seporsi+telur 4+oseng mercon. Oseng merconnya ternyata 10rb hanya sedikit ya, tapi okelah yang penting rasa tidak mengecewakan untuk gudeg maupun oseng merconnya. Gudeg rasanya pertengahan antara manis dan gurih. ",5,2023-04-08T11:53:48.707394+07:00,,3,2023-04-08T04:39:46.913704Z,"Telur Bebek, Oseng Mercon, Gudeg",CANNED_RESPONSE_FRESHNESS CANNED_RESPONSE_TASTE,,
35934747-fff1-4417-9755-66cb11bb231c,Kurang banyak Nasinya ,5,2022-04-08T15:14:38.328148+07:00,,1,2022-04-08T06:52:14.79506Z,Nasi Gudeg Krecek Telur Bebek,CANNED_RESPONSE_TASTE,,
a1bfa335-cca5-4d54-89fd-e4dab06c25c9,sy pesan 5porsi yg 1porsi sambal kreceknya dipisah.. tapi kreceknya malah tdk dikasih Dan tdk bawakan ... sy pesan dipisah bukan tdk pakai sambalgoreng,2,2021-12-11T09:57:12.061443+07:00,,1,2021-12-11T02:17:22.29313Z,Nasi Gudeg Krecek Telur Bebek,,,
d5765a04-2486-4056-8a2e-1c50f3caca82,I enjoyed bit this food,5,2021-10-23T19:36:17.82001+07:00,,4,2021-10-21T05:24:12.258322Z,"Nasi Gudeg Krecek Sayap, Bubur Gudeg Krecek Sayap, Nasi Gudeg Krecek Telur Bebek, Telur Bebek",,,
efd52d67-bc29-40a0-8926-c3ef3c52e4cf,bubur nya asiiinn ,3,2021-08-23T13:44:42.835124+07:00,,2,2021-08-23T00:31:48.483165Z,"Nasi Gudeg Krecek Telur Bebek, Bubur",,,
a7a89f9d-3c88-497e-a50c-bd1535c6c927,uenak puolll worth it every rupiah! ,5,2021-06-14T19:52:24.47173+07:00,,3,2021-06-14T12:16:00.581015Z,"Nasi Gudeg Krecek Telur Bebek, Sambel Krecek per Porsi, Komplitan",CANNED_RESPONSE_FRESHNESS CANNED_RESPONSE_TASTE CANNED_RESPONSE_PORTION CANNED_RESPONSE_HYGIENE CANNED_RESPONSE_PACKAGING CANNED_RESPONSE_VALUE,,
74a6902c-e393-412f-809c-ace25f18e0bc,Enak bgt muarah bgt,5,2020-08-17T19:39:41.219+07:00,,4,2020-08-17T00:44:47.106131Z,"Ceker Per Porsi, Nasi Gudeg Krecek Paha Bawah, Nasi Gudeg Krecek Paha Atas, Kerupuk",CANNED_RESPONSE_FRESHNESS CANNED_RESPONSE_TASTE CANNED_RESPONSE_PORTION CANNED_RESPONSE_HYGIENE CANNED_RESPONSE_PACKAGING CANNED_RESPONSE_VALUE,,
